
    Sonde serial number                          	M4643053
    Sonde type                                   	RS92-SGP
    Release point longitude                      	73.83�E
    Release point latitude                       	19.90�N
    Release point height from sea level          	1151 m
    Balloon release date and time                	2022-03-28T14:31:19

   n HeightMSL  Temp     P RH Dir Speed  MRI
             m    �C    mb  %   �   m/s     
   1      1150  33.0 947.4 14 175   2.2  358
   2      1163  31.7 946.0 16 320   1.9  362
   3      1172  31.9 945.0 16 326   2.9  364
   4      1179  32.0 944.3 16 327   3.4  365
   5      1184  32.2 943.8 16 327   3.6  365
   6      1188  32.4 943.4 15 327   3.8  365
   7      1192  32.5 943.0 15 328   4.0  365
   8      1196  32.7 942.5 15 328   4.3  365
   9      1200  32.9 942.1 14 328   4.6  366
  10      1205  33.0 941.6 14 328   4.8  366
  11      1209  33.0 941.2 14 329   5.1  366
  12      1214  33.1 940.7 14 329   5.4  366
  13      1219  33.2 940.1 14 329   5.6  367
  14      1224  33.3 939.6 13 329   5.9  367
  15      1229  33.4 939.1 13 329   6.1  367
  16      1233  33.5 938.6 13 329   6.3  367
  17      1238  33.6 938.2 13 330   6.6  368
  18      1243  33.7 937.7 13 330   6.8  368
  19      1248  33.8 937.1 12 330   7.0  368
  20      1253  33.9 936.6 12 330   7.1  368
  21      1259  34.0 936.0 12 330   7.3  369
  22      1264  34.1 935.4 12 330   7.5  369
  23      1270  34.1 934.8 12 330   7.6  369
  24      1275  34.1 934.2 11 330   7.8  370
  25      1282  34.1 933.6 11 330   7.9  371
  26      1287  34.1 933.0 11 330   8.0  371
  27      1293  34.0 932.4 11 330   8.1  372
  28      1299  34.0 931.8 11 330   8.2  373
  29      1305  33.9 931.2 11 330   8.3  374
  30      1310  33.9 930.7 12 330   8.4  375
  31      1314  33.9 930.3 12 330   8.5  375
  32      1317  33.9 929.9 12 330   8.5  376
  33      1321  33.8 929.6 12 330   8.6  376
  34      1324  33.8 929.2 11 330   8.6  376
  35      1329  33.8 928.7  1 330   8.7  355
  36      1333  33.7 928.3  1 329   8.7  356
  37      1338  33.7 927.8  1 329   8.7  357
  38      1342  33.7 927.3  1 329   8.8  357
  39      1347  33.6 926.9  1 329   8.8  358
  40      1351  33.6 926.4  1 329   8.8  358
  41      1356  33.6 925.9  1 329   8.8  359
  42      1362  33.5 925.3  1 329   8.8  360
  43      1368  33.5 924.7  1 329   8.8  361
  44      1373  33.4 924.1  1 329   8.8  361
  45      1378  33.4 923.7  1 329   8.8  362
  46      1381  33.3 923.3  1 329   8.8  363
  47      1385  33.3 922.9  1 329   8.8  363
  48      1389  33.3 922.5  1 329   8.8  364
  49      1394  33.2 922.0  1 329   8.7  364
  50      1399  33.2 921.5  1 328   8.7  365
  51      1403  33.1 921.1  1 328   8.7  366
  52      1407  33.1 920.6  1 328   8.7  366
  53      1412  33.1 920.1  1 328   8.6  367
  54      1417  33.0 919.6  1 328   8.6  367
  55      1423  33.0 919.1  1 328   8.6  368
  56      1427  32.9 918.6  1 328   8.5  369
  57      1431  32.9 918.2  1 328   8.5  369
  58      1434  32.9 917.9  1 328   8.5  370
  59      1438  32.8 917.5  1 328   8.4  370
  60      1441  32.8 917.1  1 328   8.4  371
  61      1445  32.8 916.8  1 328   8.4  371
  62      1449  32.7 916.4  1 328   8.4  372
  63      1452  32.7 916.0  1 328   8.3  372
  64      1456  32.7 915.6  2 328   8.3  374
  65      1460  32.6 915.3  4 328   8.3  379
  66      1463  32.6 914.9  6 328   8.3  384
  67      1467  32.6 914.5  8 328   8.3  387
  68      1471  32.5 914.1  9 329   8.3  390
  69      1474  32.5 913.8 10 329   8.2  392
  70      1478  32.5 913.4 10 329   8.2  394
  71      1482  32.5 913.0 11 329   8.2  395
  72      1486  32.4 912.5 11 329   8.2  396
  73      1490  32.4 912.1 12 329   8.2  398
  74      1494  32.4 911.7 12 329   8.2  399
  75      1498  32.3 911.3 12 329   8.2  400
  76      1502  32.3 910.9 12 329   8.2  401
  77      1506  32.2 910.5 13 329   8.2  402
  78      1510  32.2 910.2 13 328   8.2  402
  79      1514  32.2 909.8 13 328   8.2  403
  80      1517  32.1 909.4 13 328   8.1  404
  81      1521  32.1 909.0 13 328   8.1  404
  82      1525  32.1 908.6 13 328   8.1  405
  83      1528  32.0 908.3 13 328   8.1  406
  84      1532  32.0 907.9 13 328   8.1  406
  85      1535  32.0 907.6 13 328   8.0  407
  86      1539  31.9 907.2 13 328   8.0  407
  87      1543  31.9 906.8 13 328   8.0  408
  88      1547  31.8 906.4 13 328   7.9  408
  89      1551  31.8 906.0 14 327   7.9  409
  90      1554  31.8 905.7 14 327   7.9  410
  91      1557  31.7 905.4 14 327   7.8  410
  92      1561  31.7 905.0 14 327   7.8  410
  93      1564  31.7 904.7 14 327   7.8  411
  94      1568  31.6 904.3 14 327   7.7  412
  95      1572  31.6 903.8 14 327   7.7  412
  96      1577  31.6 903.4 14 327   7.7  413
  97      1582  31.5 902.9 14 327   7.7  414
  98      1586  31.5 902.5 14 327   7.6  414
  99      1589  31.4 902.1 14 327   7.6  415
 100      1593  31.4 901.8 14 327   7.6  415
 101      1596  31.4 901.4 14 327   7.6  416
 102      1600  31.3 901.0 14 327   7.5  416
 103      1604  31.3 900.7 14 327   7.5  417
 104      1607  31.3 900.3 14 327   7.5  417
 105      1610  31.3 900.0 14 327   7.5  418
 106      1614  31.2 899.6 14 327   7.5  418
 107      1617  31.2 899.3 14 327   7.5  419
 108      1621  31.1 898.9 14 327   7.4  419
 109      1624  31.1 898.6 14 327   7.4  420
 110      1627  31.1 898.3 14 327   7.4  420
 111      1631  31.1 898.0 14 327   7.4  421
 112      1634  31.0 897.6 14 327   7.4  421
 113      1638  31.0 897.2 14 327   7.4  422
 114      1641  31.0 896.9 14 327   7.4  422
 115      1645  30.9 896.5 14 327   7.4  423
 116      1648  30.9 896.2 15 327   7.4  423
 117      1652  30.9 895.8 15 327   7.4  424
 118      1656  30.8 895.4 15 327   7.4  424
 119      1659  30.8 895.1 15 327   7.4  425
 120      1663  30.8 894.7 15 326   7.4  425
 121      1667  30.7 894.3 15 326   7.4  426
 122      1670  30.7 894.0 15 326   7.4  426
 123      1674  30.6 893.6 15 326   7.4  427
 124      1678  30.6 893.2 15 326   7.4  427
 125      1682  30.6 892.8 15 326   7.3  428
 126      1685  30.6 892.5 15 326   7.3  428
 127      1688  30.5 892.2 15 326   7.3  429
 128      1691  30.5 891.9 15 326   7.3  429
 129      1694  30.4 891.6 15 325   7.3  430
 130      1697  30.4 891.3 15 325   7.3  430
 131      1701  30.4 890.9 15 325   7.3  430
 132      1704  30.4 890.6 15 325   7.3  431
 133      1708  30.3 890.2 15 325   7.3  432
 134      1712  30.3 889.8 15 325   7.2  432
 135      1716  30.3 889.4 15 325   7.2  433
 136      1719  30.2 889.1 15 325   7.2  433
 137      1722  30.2 888.7 15 325   7.2  434
 138      1726  30.2 888.4 15 325   7.2  434
 139      1729  30.1 888.1 15 324   7.2  434
 140      1733  30.1 887.7 15 324   7.1  435
