profile	frame_counter	ascent_rate_ms	latitude	longitude	altitude_m	vn_ms	ve_ms	vu_ms	battery_mv	tx_ma	system_temp_c	sats_used	fix_type	pdop	hdop	vdop	gps_week	tow_ms	cal_version	pressure_offset	temp_offset	humidity_offset	rf_tune_id	manufacturing_lot	raw_rssi_dbm	raw_snr_db	temperature_c	pressure_hpa	relative_humidity_pct	wind_dir_deg	wind_speed_ms	phase
1	1	0.0	19.900079	73.829993	1150.0	2.19	-0.19	0.0	3803	119	22.8	12	3	2.2	1.4	1.7	1869	52279000	2	-0.07	-0.14	-0.8	403	M4643053	-81	10.5	33.0	947.4	14.0	175.0	2.2	ascent
2	2	3.25	19.900026	73.830039	1163.0	-1.46	1.22	3.25	3807	116	22.6	10	3	2.1	1.6	1.4	1869	52283000	2	0.18	0.19	-0.1	403	M4643053	-89	10.6	31.7	946.0	16.0	320.0	1.9	ascent
3	3	2.25	19.89994	73.830101	1172.0	-2.4	1.62	2.25	3794	117	22.8	9	3	1.7	1.8	0.3	1869	52287000	2	0.21	0.17	-0.7	403	M4643053	-86	8.9	31.9	945.0	16.0	326.0	2.9	ascent
4	4	1.75	19.899838	73.830172	1179.0	-2.85	1.85	1.75	3795	120	23.3	11	3	1.1	1.1	0.3	1869	52291000	2	-0.21	0.09	0.9	403	M4643053	-82	13.8	32.0	944.3	16.0	327.0	3.4	ascent
5	5	1.25	19.899729	73.830247	1184.0	-3.02	1.96	1.25	3805	123	22.9	10	3	2.1	1.2	1.7	1869	52295000	2	-0.29	0.07	-0.2	403	M4643053	-83	11.2	32.2	943.8	16.0	327.0	3.6	ascent
6	6	1.0	19.899615	73.830326	1188.0	-3.19	2.07	1.0	3793	119	23.4	9	3	2.4	1.3	2.0	1869	52299000	2	0.13	-0.19	0.9	403	M4643053	-88	17.5	32.4	943.4	15.0	327.0	3.8	ascent
7	7	1.0	19.899493	73.830407	1192.0	-3.39	2.12	1.0	3797	116	22.7	10	3	1.9	1.2	1.5	1869	52303000	2	0.1	-0.07	0.9	403	M4643053	-84	16.4	32.5	943.0	15.0	328.0	4.0	ascent
8	8	1.0	19.899362	73.830494	1196.0	-3.65	2.28	1.0	3798	122	23.0	9	3	2.2	1.3	1.8	1869	52307000	2	0.06	0.01	-0.2	403	M4643053	-85	12.3	32.7	942.5	15.0	328.0	4.3	ascent
9	9	1.0	19.899222	73.830587	1200.0	-3.9	2.44	1.0	3799	124	23.6	12	3	2.0	0.9	1.8	1869	52311000	2	0.0	-0.09	-0.1	403	M4643053	-89	15.5	32.9	942.1	14.0	328.0	4.6	ascent
10	10	1.25	19.899075	73.830685	1205.0	-4.07	2.54	1.25	3792	120	23.3	11	3	2.2	1.4	1.7	1869	52315000	2	-0.01	0.05	0.1	403	M4643053	-89	11.0	33.0	941.6	14.0	328.0	4.8	ascent
11	11	1.0	19.898918	73.830785	1209.0	-4.37	2.63	1.0	3803	124	23.5	8	3	1.7	1.5	0.8	1869	52319000	2	0.27	-0.12	0.2	403	M4643053	-82	9.3	33.0	941.2	14.0	329.0	5.1	ascent
12	12	1.25	19.898752	73.830891	1214.0	-4.63	2.78	1.25	3795	117	23.2	9	3	2.2	1.8	1.3	1869	52323000	2	-0.03	0.18	0.0	403	M4643053	-88	13.7	33.1	940.7	14.0	329.0	5.4	ascent
13	13	1.25	19.898579	73.831001	1219.0	-4.8	2.88	1.25	3794	122	22.8	12	3	1.7	1.1	1.3	1869	52327000	2	-0.26	-0.13	0.5	403	M4643053	-85	17.4	33.2	940.1	14.0	329.0	5.6	ascent
14	14	1.25	19.898398	73.831118	1224.0	-5.06	3.04	1.25	3796	123	23.6	9	3	2.3	1.2	2.0	1869	52331000	2	-0.3	-0.19	0.1	403	M4643053	-86	15.9	33.3	939.6	13.0	329.0	5.9	ascent
15	15	1.25	19.89821	73.831238	1229.0	-5.23	3.14	1.25	3801	115	23.4	11	3	1.7	1.4	1.0	1869	52335000	2	0.16	0.03	-0.8	403	M4643053	-87	12.1	33.4	939.1	13.0	329.0	6.1	ascent
16	16	1.0	19.898016	73.831362	1233.0	-5.4	3.24	1.0	3804	118	23.6	8	3	1.1	1.8	0.3	1869	52339000	2	0.08	0.13	-0.7	403	M4643053	-85	17.3	33.5	938.6	13.0	329.0	6.3	ascent
17	17	1.25	19.89781	73.831488	1238.0	-5.72	3.3	1.25	3800	119	23.6	12	3	2.0	1.7	1.1	1869	52343000	2	-0.27	-0.2	0.6	403	M4643053	-86	13.4	33.6	938.2	13.0	330.0	6.6	ascent
18	18	1.25	19.897599	73.831618	1243.0	-5.89	3.4	1.25	3799	119	23.2	8	3	2.4	1.7	1.7	1869	52347000	2	-0.15	-0.18	0.8	403	M4643053	-81	17.7	33.7	937.7	13.0	330.0	6.8	ascent
19	19	1.25	19.897381	73.831751	1248.0	-6.06	3.5	1.25	3798	123	23.7	12	3	1.5	1.0	1.1	1869	52351000	2	-0.15	-0.02	0.9	403	M4643053	-84	8.9	33.8	937.1	12.0	330.0	7.0	ascent
20	20	1.25	19.89716	73.831887	1253.0	-6.15	3.55	1.25	3796	117	23.5	8	3	2.0	1.4	1.4	1869	52355000	2	0.16	0.19	-0.4	403	M4643053	-80	9.9	33.9	936.6	12.0	330.0	7.1	ascent
21	21	1.5	19.896933	73.832026	1259.0	-6.32	3.65	1.5	3792	117	23.8	10	3	2.2	1.5	1.6	1869	52359000	2	-0.13	-0.04	-0.1	403	M4643053	-86	13.7	34.0	936.0	12.0	330.0	7.3	ascent
22	22	1.25	19.896699	73.83217	1264.0	-6.5	3.75	1.25	3802	123	23.5	12	3	1.5	1.4	0.5	1869	52363000	2	-0.21	-0.18	-0.9	403	M4643053	-88	16.8	34.1	935.4	12.0	330.0	7.5	ascent
23	23	1.5	19.896463	73.832315	1270.0	-6.58	3.8	1.5	3799	115	23.5	8	3	2.2	1.5	1.6	1869	52367000	2	0.25	0.06	0.0	403	M4643053	-84	15.7	34.1	934.8	12.0	330.0	7.6	ascent
24	24	1.25	19.89622	73.832464	1275.0	-6.75	3.9	1.25	3793	120	23.5	8	3	1.3	1.7	0.3	1869	52371000	2	-0.26	-0.1	-0.4	403	M4643053	-88	10.3	34.1	934.2	11.0	330.0	7.8	ascent
25	25	1.75	19.895974	73.832615	1282.0	-6.84	3.95	1.75	3795	124	23.2	10	3	2.0	1.0	1.7	1869	52375000	2	0.3	-0.19	-0.4	403	M4643053	-88	8.9	34.1	933.6	11.0	330.0	7.9	ascent
26	26	1.25	19.895725	73.832768	1287.0	-6.93	4.0	1.25	3796	120	23.7	12	3	2.4	1.4	1.9	1869	52379000	2	0.26	0.05	0.6	403	M4643053	-80	11.5	34.1	933.0	11.0	330.0	8.0	ascent
27	27	1.5	19.895473	73.832923	1293.0	-7.01	4.05	1.5	3797	123	23.1	8	3	1.5	1.7	0.3	1869	52383000	2	0.06	-0.11	-0.5	403	M4643053	-85	8.5	34.0	932.4	11.0	330.0	8.1	ascent
28	28	1.5	19.895218	73.833079	1299.0	-7.1	4.1	1.5	3797	115	23.7	9	3	1.9	1.3	1.4	1869	52387000	2	0.15	-0.13	1.0	403	M4643053	-88	15.4	34.0	931.8	11.0	330.0	8.2	ascent
